index,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,totals
274,2020-08,Wyoming,522.0,14.0,3080.0,3188.0,220.0,128,7370
275,2020-07,Alabama,48126.0,682.0,34909.0,17250.0,2498.0,1170,107490
276,2020-07,Alaska,69.0,152.0,4949.0,3779.0,435.0,283,10108
277,2020-07,Arizona,9402.0,900.0,31040.0,12361.0,2411.0,2866,60330
278,2020-07,Arkansas,4292.0,847.0,12391.0,7322.0,738.0,432,27647
279,2020-07,California,35097.0,0.0,67672.0,38618.0,7530.0,0,149685
280,2020-07,Colorado,11124.0,31.0,29171.0,15184.0,2077.0,1695,59666
281,2020-07,Connecticut,8500.0,326.0,6815.0,2062.0,1791.0,0,19494
282,2020-07,Delaware,445.0,0.0,4034.0,1840.0,249.0,142,6935
283,2020-07,District of Columbia,575.0,0.0,296.0,11.0,0.0,0,898
284,2020-07,Florida,33826.0,0.0,106745.0,33102.0,7751.0,3832,190975
285,2020-07,Georgia,37840.0,0.0,38413.0,13344.0,1700.0,3368,96979
286,2020-07,Guam,0.0,0.0,227.0,85.0,54.0,19,385
287,2020-07,Hawaii,1840.0,0.0,0.0,0.0,0.0,0,1841
288,2020-07,Idaho,6450.0,3.0,8813.0,6337.0,752.0,388,23392
289,2020-07,Illinois,42167.0,626794.0,31853.0,12250.0,0.0,1360,714424
290,2020-07,Indiana,1117.0,123289.0,32970.0,15066.0,2395.0,1083,176861
291,2020-07,Iowa,11431.0,4550.0,248.0,2685.0,45.0,6,19035
292,2020-07,Kansas,2125.0,19.0,10300.0,6071.0,833.0,415,20532
293,2020-07,Kentucky,1481.0,255511.0,20962.0,10578.0,947.0,759,292534
294,2020-07,Louisiana,1932.0,187.0,24074.0,11374.0,1980.0,1263,42103
295,2020-07,Maine,664.0,2.0,5163.0,4049.0,398.0,257,10688
296,2020-07,Mariana Islands,0.0,0.0,13.0,6.0,1.0,1,21
297,2020-07,Maryland,9374.0,3.0,7905.0,8023.0,347.0,4,26326
298,2020-07,Massachusetts,13334.0,0.0,6238.0,3114.0,730.0,257,23816
299,2020-07,Michigan,28959.0,10192.0,44270.0,21710.0,2909.0,1070,109466
300,2020-07,Minnesota,27663.0,19802.0,17856.0,11371.0,1397.0,636,79160
301,2020-07,Mississippi,3486.0,0.0,19196.0,8971.0,1119.0,573,35159
302,2020-07,Missouri,5289.0,0.0,31991.0,17146.0,2753.0,1343,60576
303,2020-07,Montana,1971.0,1.0,5472.0,4926.0,339.0,289,13741
304,2020-07,Nebraska,6481.0,263.0,135.0,1929.0,34.0,4,8913
305,2020-07,Nevada,3978.0,0.0,11920.0,3949.0,658.0,594,21769
306,2020-07,New Hampshire,1666.0,3.0,7918.0,3788.0,213.0,1,13743
307,2020-07,New Jersey,0.0,0.0,7656.0,6172.0,448.0,0,14414
308,2020-07,New Mexico,195.0,0.0,10102.0,5084.0,768.0,447,17525
309,2020-07,New York,3266.0,1429.0,11400.0,23105.0,4019.0,519,44795
310,2020-07,North Carolina,54287.0,118.0,2865.0,20322.0,1965.0,196,82831
311,2020-07,North Dakota,606.0,15.0,2702.0,2942.0,170.0,128,6731
312,2020-07,Ohio,18219.0,116.0,43645.0,18865.0,2325.0,1434,86125
313,2020-07,Oklahoma,2873.0,8.0,19294.0,10955.0,2027.0,1164,38922
314,2020-07,Oregon,5945.0,810.0,22479.0,11897.0,0.0,7,41314
315,2020-07,Pennsylvania,41217.0,9.0,77854.0,22276.0,68.0,0,142966
316,2020-07,Puerto Rico,0.0,0.0,2283.0,256.0,107.0,34,2908
317,2020-07,Rhode Island,0.0,0.0,2079.0,1142.0,139.0,406,4303
318,2020-07,South Carolina,11394.0,361.0,23255.0,8726.0,1231.0,626,46905
319,2020-07,South Dakota,788.0,326.0,3609.0,3222.0,254.0,164,8612
320,2020-07,Tennessee,13825.0,21082.0,42011.0,20831.0,2075.0,0,99943
321,2020-07,Texas,58415.0,0.0,96689.0,41060.0,6431.0,3366,213969
322,2020-07,Utah,10244.0,74786.0,8314.0,5447.0,744.0,0,100294
323,2020-07,Vermont,0.0,0.0,2373.0,1739.0,199.0,122,4466
324,2020-07,Virgin Islands,208.0,0.0,48.0,4.0,0.0,0,260
325,2020-07,Virginia,732.0,324.0,44801.0,19538.0,5588.0,0,71082
326,2020-07,Washington,15562.0,521.0,33892.0,14006.0,4980.0,54,71472
327,2020-07,West Virginia,4184.0,202.0,9331.0,6358.0,479.0,418,22194
328,2020-07,Wisconsin,17704.0,1028.0,26890.0,12518.0,1273.0,52,59871
329,2020-07,Wyoming,818.0,7.0,3237.0,2950.0,207.0,147,7598
330,2020-06,Alabama,64643.0,1171.0,47159.0,20120.0,2604.0,1732,139873
331,2020-06,Alaska,19.0,148.0,4785.0,3091.0,451.0,234,9060
332,2020-06,Arizona,7390.0,870.0,43291.0,14267.0,2769.0,3918,74055
333,2020-06,Arkansas,4203.0,551.0,15520.0,7820.0,785.0,463,30792
334,2020-06,California,31700.0,0.0,76210.0,40933.0,8487.0,0,158349
335,2020-06,Colorado,9000.0,0.0,35381.0,16998.0,2250.0,1995,66038
336,2020-06,Connecticut,6641.0,257.0,6943.0,2196.0,2178.0,0,18215
337,2020-06,Delaware,207.0,0.0,5303.0,2116.0,204.0,183,8225
338,2020-06,District of Columbia,647.0,0.0,217.0,0.0,0.0,1,897
